Latitude;Longitude;State;City;Street;HouseNumber;PostCode
44.8198027;-68.7828096;ME;Bangor;Nash Street;32;04401
44.8066933;-68.7614184;ME;Bangor;Parkview Avenue;32;04401
44.7989636;-68.7906194;ME;Bangor;Webster Avenue;32;04401
44.8054218;-68.7582307;ME;Bangor;Birch Street;34;04401
44.8022535;-68.7715965;ME;Bangor;Central Street;34;04401
44.8076363;-68.7647024;ME;Bangor;Elm Street;34;04401
44.7996859;-68.7821454;ME;Bangor;Sixth Street;34;04401
44.7968349;-68.7719656;ME;Bangor;Summer Street;34;04401
44.7948641;-68.7839272;ME;Bangor;Vine Street;34;04401
44.8100962;-68.7817205;ME;Bangor;Winter Street;34;04401
44.8023120;-68.7716026;ME;Bangor;Central Street;36;04401
44.8044013;-68.7811729;ME;Bangor;Charles Street;36;04401
44.8081071;-68.7842635;ME;Bangor;Cottage Street;36;04401
44.8055309;-68.7652357;ME;Bangor;Grove Street;36;04401
44.8008353;-68.7714314;ME;Bangor;Main Street;36;04401
44.7956457;-68.7715088;ME;Bangor;Pleasant Street;36;04401
44.7990176;-68.7763507;ME;Bangor;Sanford Street;36;04401
44.8057837;-68.7722655;ME;Bangor;Spring Street;36;04401
44.7953653;-68.7920358;ME;Bangor;Mountain View Avenue;38;04401
44.8256646;-68.7788788;ME;Bangor;School Street;38;04401
44.8086615;-68.7799618;ME;Bangor;Smith Street;38;04401
44.8102176;-68.7816189;ME;Bangor;Winter Street;38;04401
44.8031640;-68.7677806;ME;Bangor;Broadway;40;04401
44.8082397;-68.7583328;ME;Bangor;Fern Street;40;04401
44.8005246;-68.7736517;ME;Bangor;High Street;40;04401
44.8007723;-68.7714570;ME;Bangor;Main Street;40;04401
44.7966462;-68.7721307;ME;Bangor;Summer Street;40;04401
44.7993076;-68.7773358;ME;Bangor;Third Street;40;04401
44.8033802;-68.7678240;ME;Bangor;Broadway;42;04401
44.7969668;-68.7749616;ME;Bangor;Cedar Street;42;04401
44.8008104;-68.7724747;ME;Bangor;Columbia Street;42;04401
44.8073847;-68.7605809;ME;Bangor;Maple Street;42;04401
44.8088190;-68.7799549;ME;Bangor;Smith Street;42;04401
44.8059360;-68.7718855;ME;Bangor;Spring Street;42;04401
44.8062198;-68.7720361;ME;Bangor;Spring Street;42;04401
44.8033540;-68.7682540;ME;Bangor;Broadway;44;04401
44.7961730;-68.7834229;ME;Bangor;Carroll Street;44;04401
44.8024785;-68.7715640;ME;Bangor;Central Street;44;04401
44.8041406;-68.7813889;ME;Bangor;Charles Street;44;04401
44.7997333;-68.7786934;ME;Bangor;Fourth Street;44;04401
44.8057606;-68.7653043;ME;Bangor;Grove Street;44;04401
44.8097759;-68.7744122;ME;Bangor;Jefferson Street;44;04401
44.8007139;-68.7714825;ME;Bangor;Main Street;44;04401
44.8090718;-68.7559582;ME;Bangor;Otis Street;44;04401
44.8059987;-68.7717525;ME;Bangor;Spring Street;44;04401
44.7985728;-68.7910697;ME;Bangor;Webster Avenue;44;04401
44.8078149;-68.7844858;ME;Bangor;Cottage Street;46;04401
44.8083835;-68.7582500;ME;Bangor;Fern Street;46;04401
44.8006689;-68.7715080;ME;Bangor;Main Street;46;04401
44.8075247;-68.7607827;ME;Bangor;Maple Street;46;04401
44.8079056;-68.7731866;ME;Bangor;Market Street;46;04401
44.7982328;-68.7755193;ME;Bangor;Second Street;46;04401
44.7984570;-68.7942310;ME;Bangor;West Street;48;04401
44.8037810;-68.7679488;ME;Bangor;Broadway;50;04401
44.8006620;-68.7725575;ME;Bangor;Columbia Street;50;04401
44.8067786;-68.7634666;ME;Bangor;Forest Avenue;50;04401
44.7916905;-68.7790402;ME;Bangor;Larkin Street;50;04401
